m3_allocatable_n127 |  PASS
m3_allocatable_n128 |  PASS
m3_allocatable_n257 |  PASS
m3_allocatable_n33 |  PASS
m3_allocatable_n64 |  PASS
m3_allocatable_n65 |  PASS
m3_atomic_vs_reduction_n127 |  PASS
m3_atomic_vs_reduction_n128 |  PASS
m3_atomic_vs_reduction_n257 |  PASS
m3_atomic_vs_reduction_n33 |  PASS
m3_atomic_vs_reduction_n64 |  PASS
m3_atomic_vs_reduction_n65 |  PASS
m3_collapse2_n127 |  PASS
m3_collapse2_n128 |  PASS
m3_collapse2_n257 |  PASS
m3_collapse2_n33 |  PASS
m3_collapse2_n64 |  PASS
m3_collapse2_n65 |  PASS
m3_collapse3_n127 |  PASS
m3_collapse3_n128 |  PASS
m3_collapse3_n257 |  PASS
m3_collapse3_n33 |  PASS
m3_collapse3_n64 |  PASS
m3_collapse3_n65 |  PASS
m3_complex_mul_n127 |  PASS
m3_complex_mul_n128 |  PASS
m3_complex_mul_n257 |  PASS
m3_complex_mul_n33 |  PASS
m3_complex_mul_n64 |  PASS
m3_complex_mul_n65 |  PASS
m3_firstprivate_array_n127 |  PASS
m3_firstprivate_array_n128 |  PASS
m3_firstprivate_array_n257 |  PASS
m3_firstprivate_array_n33 |  PASS
m3_firstprivate_array_n64 |  PASS
m3_firstprivate_array_n65 |  PASS
m3_private_array_n127 |  PASS
m3_private_array_n128 |  PASS
m3_private_array_n257 |  PASS
m3_private_array_n33 |  PASS
m3_private_array_n64 |  PASS
m3_private_array_n65 |  PASS
m3_reduce_max_n127 |  PASS
m3_reduce_max_n128 |  PASS
m3_reduce_max_n257 |  PASS
m3_reduce_max_n33 |  PASS
m3_reduce_max_n64 |  PASS
m3_reduce_max_n65 |  PASS
m3_reduce_min_n127 |  PASS
m3_reduce_min_n128 |  PASS
m3_reduce_min_n257 |  PASS
m3_reduce_min_n33 |  PASS
m3_reduce_min_n64 |  PASS
m3_reduce_min_n65 |  PASS
m3_reduce_sum_n127 |  PASS
m3_reduce_sum_n128 |  PASS
m3_reduce_sum_n257 |  PASS
m3_reduce_sum_n33 |  PASS
m3_reduce_sum_n64 |  PASS
m3_reduce_sum_n65 |  PASS
m3_simd_vs_plain_n127 |  PASS
m3_simd_vs_plain_n128 |  PASS
m3_simd_vs_plain_n257 |  PASS
m3_simd_vs_plain_n33 |  PASS
m3_simd_vs_plain_n64 |  PASS
m3_simd_vs_plain_n65 |  PASS
m3_teams_then_parallel_n127 |  PASS
m3_teams_then_parallel_n128 |  PASS
m3_teams_then_parallel_n257 |  PASS
m3_teams_then_parallel_n33 |  PASS
m3_teams_then_parallel_n64 |  PASS
m3_teams_then_parallel_n65 |  PASS
